,content
0,"글람은 제3자배정 유상증자를 결정했다고 31일 공시했다. 유상증자는 채무 출자전환 형태로 진행된다. <br/> <br/>발행 신주는 총 35만7640주고 주당 발행가액은 9200원이다. 총 조달금액은 32억9028만8000원이고 자금조달 목적은 기타자금이다. 제3자배정 대상자는 주식회사 명인 17만1220주, 최대주주의 임원인 서정호 18만6420주 등이다. 납입일은 8월 16일이다. <br/> <br/>아주경제=이재빈 기자 fuego@ajunews.com"
1,"뉴스1
정부가 학원에 모의고사 문제나 강의를 제공하고 금품을 받는 등의 영리 활동을 한 교원들을 조사한다. 교원과 사교육 업체 사이에 형성된 이권 카르텔을 끊어내기 위해서다. <br/> <br/>교육부는 31일 사교육 업체와 연계된 교원의 영리 행위 실태를 조사한다고 밝혔다. <br/> <br/>교육부는 먼저 다음 달 1일부터 14일까지 교육부 홈페이지 등을 통해 영리 활동을 한 교원의 자진 신고를 받고, 신고 자료를 토대로 구체적인 실태를 파악할 계획이다. 이 과정에서 위법한 활동이 확인되면 관련 법령에 따라 수사를 의뢰하고 징계할 방침이다. 자진 신고 기간에 신고하지 않은 교원의 영리 활동이 향후 감사 등에서 드러나면 해당 교원은 더욱 엄중한 조치를 받게 된다. <br/> <br/>또 교육부는 이번 실태 조사 결과와 시도교육청에서 받은 겸직 허가 자료를 토대로 올 하반기 ‘겸직 허가 가이드라인’을 마련할 계획이다. 가이드라인에는 일부 학원 수강생들에게만 제공되는 교재나 모의고사에 교원이 문제를 제공하지 못하도록 하는 내용 등이 포함될 예정이다. <br/> <br/>정상윤 교육부 차관은 “사교육 업체와 유착된 일부 교원의 일탈 행위는 교원으로서의 책무를 방기하고 공교육의 신뢰를 무너뜨리는 것”이라며 “이에 엄정 대응함으로써 교육 현장의 공정성을 일신하는 계기로 삼겠다”고 말했다. <br/> <br/>정봉오 동아닷컴 기자 bong087@donga.com"
2,"김종욱 해양경찰청장이 31일 인천 해양경찰청에서 전국 지휘관 화상회의를 통해 제6호 태풍 '카눈' 대비 제주지방해양경찰청장 및 각 지휘관에게 원거리 조업선 피항 조치 등 안전관리를 지시하고 있다. 해양경찰청 제공.
중국 상하이 남쪽으로 향할 것으로 예상되던 제6호 태풍 카눈의 예상 경로에 변동이 생겼다. <br/> <br/> 기상청이 31일 오전 10시에 발표한 카눈 예상 경로를 보면 오전 9시 일본 오키나와 남동쪽 660㎞ 해상을 지난 카눈은 북서진하다가 내달 3~5일 오키나와 서쪽 혹은 상하이 남동쪽 해상에서 우리나라 쪽으로 방향을 틀 것으로 보인다. <br/> 이는 내달 5일께 중국 상하이 남쪽에 상륙할 것으로 본 기존 예상과 다르다. <br/> <br/> 기상청은 ""카눈 진행 방향 정면에서 북서풍이 불어 들면서 이동속도가 느려지고 있다""라면서 ""이에 태풍 예상 경로에 변화가 생겼다""라고 설명했다. <br/> <br/> 미국 합동태풍경보센터(JTWC)나 일본·중국·대만 기상청 등도 한국 기상청과 마찬가지로 카눈이 상하이 쪽으로 북서진을 거듭하는 것이 아니라 상하이와 오키나와 사이 바다에서 방향을 튼다는 데 무게를 실은 전망을 내놓고 있다. <br/> <br/> 물론 아직은 카눈이 우리나라를 향해 올 것이라고 단정하기 어려운 상황이다. <br/> <br/> 수치예보모델들 사이에서나, 한 수치예보모델이 내놓은 여러 전망 중에서 카눈 예상 경로가 크게 엇갈리는 상황으로 기존 예상처럼 상하이 남쪽에 상륙할 것으로 보는 전망도 여전히 있고 한국이나 일본에 상륙할 것으로 보는 전망도 있다. <br/> <br/> 한국의 태풍 진로 예보는 미국 등에 견줘 정확한 편인데 작년 발생한 태풍 72시간 전 진로 예보와 실제의 거리오차는 평균 166㎞였다. 아직은 카눈의 진로를 속단해선 안 되는 것이다. <br/> 카눈의 세력은 현재 '강'인데 내달 1~2일 '매우 강'까지 발달할 전망이다. <br/> <br/> 열대저기압 중심최대풍속이 17㎧ 이상이면 태풍으로 분류한다. <br/> <br/> 만약 태풍의 최대풍속이 '25㎧ 이상 33㎧ 미만'이면 강도를 '중', '33㎧ 이상 44㎧ 미만'이면 '강', '44㎧ 이상 54㎧ 미만'이면 '매우 강', '54㎧ 이상'이면 '초강력'으로 부여한다. <br/> <br/> 제주 주변 해수면 온도가 27도 정도인 것을 비롯해 북위 25도 이상 바다의 해수면 온도가 평년보다 1도 이상 높아 북위 30도까지는 바다가 태풍이 발달하기 좋은 상태인 것으로 분석된다. <br/> <br/> 카눈은 태국에서 제출한 이름으로 열대과일이다."
3,배우 김민석이 31일 오후 서울 마포구 상암 MBC 골든마우스홀에서 진행된 시사교양 '빈집살래 시즌3-수리수리 마을수리' 제작발표회 참석해 포즈를 취하고 있다. <br/><br/> <br/> 한윤종 기자 hyj0709@segye.com
4,"노작홍사용문학관은 제6회 노작홍사용창작단막극제 본선 진출 4개 극단을 확정했다고 31일밝혔다. <br/><br/>본선진출작은 ‘세상은 덥다(극단 에이치 프로젝트)’, ‘오래된 불(극단 스토리켓)’, ‘저수지의 일(극단 극발전소301)’, ‘즐거운 우리집(극단 산수유)’등 4개 작품으로 총 49편의 참가작 가운데 예심을 거쳐 선정했다. <br/><br/>심사는 극단과 작가명을 기입하지 않은 블라인드 방식으로 진행했으며 최용훈(연극연출가, 극단 작은신화 대표), 김남석(연극평론가, 부경대 교수), 황정은(희곡작가) 등이 참여했다. <br/><br/>노작홍사용창작단막극제는 전국 최대 규모의 창작단막극제로 대상(단체상) 1극단, 희곡상(개인상) 1인에 각각 1천만 원의 상금을 수여한다. <br/><br/>본선에 진출한 극단은 본선 경연을 위한 공연지원금 450만 원(극단 400만 원+작가 50만 원)이 각각 주어진다. <br/><br/>본선경연은 10월 중순으로 예정된 노작문학주간에 노작홍사용문학관 내 산유화극장에서 펼쳐진다. 이 자리에서 단체상과 희곡상의 주인공이 최종 결정된다. <br/><br/>손택수 노작홍사용문학관 관장은 ""올해로 6회째를 맞이하는 만큼 노작홍사용창작단막극제가 연극인 및 연극애호가 뿐만 아니라 지역민과 함께하는 축제가 되기를 소망한다""며 ""수준 높은 공연을 지역의 시민들이 관람하는데 불편함이 없도록 최선을 다하겠다""고 말했다. <br/><br/>안형철기자"
5,"조각투자
금융감독원이 한우, 미술품 등 5개사 등 증권신고서 제출을 앞두고 증권신고서 서식을 전면 개정했다고 31일 밝혔다.<br/><br/>금감원은 공시심사실 안에 투자계약증권 전담 심사팀을 운영해 공동사업 내용, 증권발행구조, 투자자보호 체계를 중심으로 엄격하게 심사할 예정이다. 이에 따라 기존 조각투자사와 신규 사업자들은 8월 1일부터 개정 서식에 따른 투자계약증권 증권신고서 제출이 가능하다.<br/><br/>투자계약증권은 공동 사업에 금전을 투자하고 주로 타인이 수행한 공동 사업 결과에 따른 손익을 받는 계약상 권리다. 2009년 2월 자본시장법 제정 때 최초 도입됐다.<br/><br/>그간 자본시장에서는 상장회사나 금융회사를 중심으로 주식·채권·수익증권 등 정형적 증권이 발행·유통돼왔으나, 최근 한우, 미술품 등 특정 자산을 기초로 공동 사업을 수행하는 조각투자가 등장하면서 증권성 논란이 제기됐다.<br/><br/>금융당국은 지난해 4월 증권성 판단 기준을 담은 가이드라인을 발표한 데 이어 지난 12일 증권성이 인정된 5개 조각투자사업자에 대해 최종 제재 면제와 사업 재편을 승인했다. 이들 사업자는 이르면 다음 달 투자계약증권 증권신고서를 제출할 것으로 예상된다.<br/><br/>금감원은 자율 기재 형식에 가까웠던 투자계약증권 서식을 투자자 보호를 강화하는 방향으로 전면 개정했다. 도산절연·피해보상·분쟁 처리 절차 등 기존 조각투자사업자에 적용했던 사업 재편 요건을 서식에 반영했고, 투자 판단에 필요한 첨부 서류를 제출받을 수 있는 근거를 마련했다.<br/><br/>또 생소한 투자계약증권에 대한 투자자 이해도를 증진할 수 있도록 30여개 질문·답변(FAQ 형식)을 담았고, 발행 정보·사업 구조 등을 한눈에 볼 수 있는 요약표도 마련했다.<br/><br/>금감원은 투자계약증권 전담 심사팀을 운영해 증권 발행 구조, 투자자 보호 체계 등을 엄격히 관리할 예정이다. 투자계약증권에 해당하는 사업을 하면서도 증권신고서 제출을 하지 않는 사업자는 자본시장법에 따른 과징금, 증권발행 제한 등 제재 절차를 밟는다.<br/><br/>금감원은 “투자계약증권 투자자는 기존 사례가 없는 만큼 투자 손실 등 피해 양상을 예측하기 어려운 점을 충분히 이해해야 한다”고 강조했다. 현재 별도 유통시장이 없어 환금성에 제약이 따를 수 있고, 사업자가 금융회사가 아니라 영업 행위 및 건전성 감독을 받지 않는다는 점도 고려해야 한다는 것이다.<br/><br/>금감원은 개정 서식과 향후 심사 방안 등에 대해 발행 예정 법인을 대상으로 8월 10일 설명회를 개최한다.<br/><br/>김시소 기자 siso@etnews.com"
6,◆기획재정부 ◇ 국장급 인사 △ 비상안전기획관 윤정열
7,"동래구 보건소(소장 김종목)는 2023년 영양플러스사업 대상자인 임산부 및 영유아 가족에게 요리학원과 연계한 조리교실을 지난 5일, 6일 양일간 운영했다고 밝혔다. <br/> <br/> 조리교실에는 45명의 대상자가 참여하였으며, 매달 대상자에게 제공되는 보충식품 중 3가지를 활용한 미역 달걀국과 감자전 조리실습을 했다. <br/> <br/> 영양플러스사업은 중위소득 80%이하 임산부, 영유아 중 영양위험요인이 있는 대상자에게 영양교육 및 보충식품을 제공하는 사업이다. <br/> <br/> 직접 조리 기회의 제공으로 대상자들의 교육효과를 높이기 위해 실시한 조리교실은 실습뿐 아니라 레시피 관련 식품지식, 관리방법 교육을 시행하고 실습이 끝난 후 가정으로 요리를 포장하여 가져갈 수 있게 하여 대상자들에게 큰 호응을 얻었다. <br/> <br/> 김종목 동래구 보건소장은 “앞으로도 대상자의 영양관리와 다양한 영양교육으로 주민들의 식습관 형성 및 영양개선에 최선을 다하겠다.”고 전했다."
8,부산진구 개금1동 주민센터(동장 이서연)는 28일 2층 다목적실에서 노인일자리 참여자 14명을 대상으로 치매안심센터를 통한 찾아가는 치매파트너 교육을 실시하였다. <br/> <br/> 이번 교육은 치매 예방뿐만 아니라 치매인식개선 교육도 함께 진행했다. 이를 통해 주위에 있는 치매 환자와 가족에 대한 이해를 높이는 시간을 가지고 교육 참여자에게 치매파트너증을 발급하였다.
9,"부산진구 범천1동 주민자치회가 지난 26일부터 3일간 동의대학교 교육봉사 동아리와 협력하여 중장년층을 대상으로 ‘아름답게 나이 듦의 시작, 인생 이모작 프로젝트, 스마트폰 및 키오스크 현장 교육’을 실시하였다. <br/> <br/> 동의대학교 교육봉사 동아리 대학생들의 재능기부로 모두 3회 걸쳐 진행했다. 참여한 봉사자들은 세대 간 소통과 보람을 가질 수 있었고 중장년층들은 어렵고 복잡했던 스마트폰과 키오스크의 사용법을 배울 수 있었다. <br/> <br/> 신용섭 주민자치위원장은 “스마트폰과 키오스크의 활용도가 점점 커지고 있는 현실에서 일대일 맞춤형으로 진행된 스마트폰 및 키오스크 현장 교육이 디지털 기기에 익숙하지 않은 중장년층들에게 도움을 줄 수 있게 되어 큰 보람을 느낀다”고 소감을 밝혔다. <br/> <br/> 장수연 범천1동장은 “이번 교육을 통해 중장년층들에게 행복한 노후설계의 기회와 즐거움을 전하게 되어 뜻깊다”며 “앞으로도 따뜻한 세대 간 소통으로 동행의 가치를 실현하기 위해 다 함께 노력할 것”이라고 말했다."
10,"부산진구 범천1동 주민자치회가 지난 26일부터 3일간 동의대학교 교육봉사 동아리와 협력하여 중장년층을 대상으로 ‘아름답게 나이 듦의 시작, 인생 이모작 프로젝트, 스마트폰 및 키오스크 현장 교육’을 실시하였다. <br/> <br/> 동의대학교 교육봉사 동아리 대학생들의 재능기부로 모두 3회 걸쳐 진행했다. 참여한 봉사자들은 세대 간 소통과 보람을 가질 수 있었고 중장년층들은 어렵고 복잡했던 스마트폰과 키오스크의 사용법을 배울 수 있었다. <br/> <br/> 신용섭 주민자치위원장은 “스마트폰과 키오스크의 활용도가 점점 커지고 있는 현실에서 일대일 맞춤형으로 진행된 스마트폰 및 키오스크 현장 교육이 디지털 기기에 익숙하지 않은 중장년층들에게 도움을 줄 수 있게 되어 큰 보람을 느낀다”고 소감을 밝혔다. <br/> <br/> 장수연 범천1동장은 “이번 교육을 통해 중장년층들에게 행복한 노후설계의 기회와 즐거움을 전하게 되어 뜻깊다”며 “앞으로도 따뜻한 세대 간 소통으로 동행의 가치를 실현하기 위해 다 함께 노력할 것”이라고 말했다."
